Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"19410270","1","21381538","","2013-10-16 17:48:00","","40","34924","<p>I have corpora of classified text. From these I create vectors. Each vector corresponds to one document. Vector components are word weights in this document computed as TFIDF values. Next I build a model in which every class is presented by a single vector. Model has as many vectors as there classes in the corpora. Component of a model vector is computed as mean of all component values taken from vectors in this class. For unclassified vectors I determine similarity with a model vector by computing cosine between these vectors.</p>

<p>Questions: </p>

<p>1) Can I use Euclidean Distance between unclassified and model vector to compute their similarity? </p>

<p>2) Why Euclidean distance can not be used as similarity measure instead of cosine of angle between two vectors and vice versa?</p>

<p>Thanks!</p>
","2186716","","1480391","","2015-02-26 14:11:22","2019-01-03 06:13:37","Vector Space Model: Cosine Similarity vs Euclidean Distance","<vector><distance><euclidean-distance><trigonometry>","4","1","0","","","CC BY-SA 3.0"
"19410271","1","","","2013-10-16 17:48:02","","-1","73","<p>I designed an iPhone web app that can also be accessed by the desktop. The design falls apart on the browser when it is only meant for the iphone. How can I stop users from accessing from a Desktop browser and only an iPhone?</p>
","2512858","","","","","2013-10-16 17:56:03","How can I restrict desktop browser access to an iPhone web app?","<iphone><web-applications><browser>","2","0","","","","CC BY-SA 3.0"
"19410275","1","","","2013-10-16 17:48:09","","5","805","<p>I'm having some problems with our feature specs. I currently suspect requirejs to be the evildoer. It seems that our specs (Rails with capybara-webkit) start running before all JavaScript files are loaded. Capybara-webkit allows me to evaluate Javascript in Webkit, and I would like to use that to make sure that everything is in place before I start the test run.</p>

<p>Can I somehow query requirejs for the modules it loaded? Are there events I can listen to? Or can I inject a requirejs module at test runtime to set a global state that I can query from my tests (not really my preferred solution)?</p>

<p>I'm not a requirejs expert and haven't implemented much of our JavaScript, but I need to fix it ;)</p>
","362378","","","","","2013-12-28 15:45:13","In tests: Make sure all JS is loaded with requirejs","<requirejs><requirejs-rails>","2","0","0","","","CC BY-SA 3.0"
"19410279","1","19413935","","2013-10-16 17:48:18","","1","124","<p>In MongoMapper, classes can inherit keys and methods from superclasses. Here I've written code to include an integer key ""baz"", and a naive sorting method to set its instances' baz values to sequential counting numbers.</p>

<pre><code>require 'mongo_mapper'
require './init/mongo_init' # Load database connection

class Sortable
    include MongoMapper::Document
    key :baz, Integer

    def self.sort_baz
        counter = 0
        Sortable.each do |record|
            record.baz = counter
            counter += 1
            record.save
        end
    end
end

class Model &lt; Sortable
    include MongoMapper::Document
    key :foo, String
    key :bar, String
end

Model.delete_all
model1 = Model.new.save
model2 = Model.new.save
model3 = Model.new.save
Model.sort_baz
Model.all.each do |record|
    puts record.inspect
end
</code></pre>

<p>Here are the results:</p>

<pre><code>#&lt;Model _id: BSON::ObjectId('525ecd73ab48655daa000001'), _type: ""Model"", baz: 0&gt;
#&lt;Model _id: BSON::ObjectId('525ecd73ab48655daa000002'), _type: ""Model"", baz: 1&gt;
#&lt;Model _id: BSON::ObjectId('525ecd73ab48655daa000003'), _type: ""Model"", baz: 2&gt;
</code></pre>

<p>Here's my question: I'm writing code with models that will want to inherit multiple types of functionalities, which in Ruby would suggest using Modules and includes, since Ruby doesn't support multiple inheritance. </p>

<p>But MongoMapper documents have to be classes, not modules. In other words, this is what I'd like to do, but it won't work:</p>

<pre><code>module Sortable
    include MongoMapper::Document
    key :baz, Integer

    def self.sort_baz
        counter = 0
        self.each do |record|
            record.baz = counter
            counter += 1
            record.save
        end
    end
end

module OtherFunctionality
    include MongoMapper::Document
    key :bam, Integer
end

class Model
    include MongoMapper::Document
    key :foo, String
    key :bar, String
    include Sortable
    include OtherFunctionality
end
</code></pre>

<p>Is there any way to cleanly combine multiple reusable sets of MongoMapper keys and class methods on a case-by-case basis?</p>
","1489763","","1489763","","2013-10-16 19:44:38","2013-10-16 21:09:06","MongoMapper: composition of multiple sets of keys and methods?","<ruby><inheritance><mongomapper>","1","1","","","","CC BY-SA 3.0"
"19410281","1","","","2013-10-16 17:48:21","","0","346","<p>This question is similar to me as this <a href=""https://stackoverflow.com/questions/5453336/plot-correlation-matrix-into-a-graph"">SO post.</a></p>

<p>Sample data for the ratios:</p>

<pre><code>n=50
ratio1 &lt;- seq(0,1.5,(1.5-0)/(n-1))
ratio2 &lt;- seq(0,2.5,(2.5-0)/(n-1))
ratio3 &lt;- seq(0.5,4.5,(4.5-0.5)/(n-1))
ratio4 &lt;- seq(1,3,(3-1)/(n-1))
ratio5 &lt;- seq(0.7,2,(2-0.7)/(n-1))
</code></pre>

<p>To name the ratios: </p>

<pre><code>rname &lt;- c(""a/b"",""c/d"",""e/f"",""g/h"",""i/j"") 
</code></pre>

<p>so the y-axis labels are <code>c(a,c,e,g,i)</code> and x-axis <code>c(b,d,f,h,j)</code></p>

<p>Now, let's say the current measured values are:</p>

<pre><code>measure.r &lt;- data.frame(c(0.7,1.5,3.3,2.5,1.5))
colnames(measure.r) &lt;- C(""r1"",""r2"",""r3"",""r4"",""r5"")
</code></pre>

<p>Now, I would like to plot the measured value within each domain (ratio1, ratio2...etc.) as the referenced SO post about plotting correlation matrix.</p>

<p>So I would like to express the current measured value position within the interval in a color (from green to red, where red means the the upper limit has been reached)</p>

<p>I would like to have the 5 ratios plotted as the correlation matrix referenced here. Where each square would represent state of the measured value (via its color).</p>

<p><img src=""https://i.stack.imgur.com/hiaXn.jpg"" alt=""enter image description here""></p>

<p>I have tried to combine the boxplot <code>bwplot</code> and the lattice <code>levelplot</code> but unsuccessfully. </p>

<p>Hope the above makes sense.  Please post any question you may have regarding the description above.</p>
","2280536","","-1","","2017-05-23 12:28:04","2013-10-16 22:04:50","Plot ratios as correlation matrix in R","<r><plot><lattice>","1","2","","","","CC BY-SA 3.0"
"19410283","1","19527313","","2013-10-16 17:48:35","","2","352","<p>I have a number of menus that point to the users registration component. Depending on where the user registers I redirect them accordingly with a custom plugin.</p>

<pre><code>public function onUserAfterSave($user, $isnew, $success, $msg)
{

    //get the active menu item id so we can compare what plan we are on
    $menu   = $app-&gt;getMenu();
    $active   = $menu-&gt;getActive();
    $activeId = $active-&gt;id;

    //compare active page (i.e. what menu item are we on) with the parameter set in the plugin
    //if it matches redirect accordingly - fallback is to always redirect to free plan
    if ($activeId == $this-&gt;params-&gt;get('free-reg-menu'))
    {
        //redirect required to go to main page
        JFactory::getApplication()-&gt;redirect(JRoute::_('page1'));
    }
    else if ($activeId == $this-&gt;params-&gt;get('bv-reg-menu')) 
    {
        //redirect to step 2 of main plan payment processing
        JFactory::getApplication()-&gt;redirect(JRoute::_('page2'));
    }
    else if ($activeId == $this-&gt;params-&gt;get('prem-reg-menu'))
    {
        //redirect to step 2 of value plan payment processing
        JFactory::getApplication()-&gt;redirect(JRoute::_('page3'));
    }
    else
    {
        //other stuff
    }

}
</code></pre>

<p>Depending on what menus were assigned in this plugin I redirect the user to a specific page. This all works quite well.</p>

<p>My problem is when registration fails (ie. duplicate username, wrong matching passwords etc.) the page does a refresh due to the server side validation. This refresh brings the page away from the original link. It seem to redirect to the first registration menu page I created.</p>

<p>For example: I'm on a registration page and I enter wrong credentials then the page refreshes to a completely different page. Any ideas? I guess an extension for AJAX registration might address this but I'd like to avoid that for now.</p>
","1008103","","1008103","","2013-10-20 02:09:54","2013-10-22 20:08:11","Joomla plugin event with failed registration","<joomla><joomla2.5>","2","0","","","","CC BY-SA 3.0"
"19410284","1","19410338","","2013-10-16 17:48:35","","-2","70","<p>I have a text that looks like this -></p>

<pre><code>car, building, money, computer, new phone, media chat, google plus, desk, gym
</code></pre>

<p>Is there a way of putting each of these words in a <code>&lt;span&gt;&lt;/span&gt;</code> tag with jQuery..?</p>

<p>Can't seem to find something like this in internet...</p>
","1114910","","2266713","","2013-10-16 17:50:29","2013-10-16 18:05:03","put each word in a span with jQuery","<javascript><jquery>","4","2","","2013-10-17 04:22:26","","CC BY-SA 3.0"
"19410290","1","19410423","","2013-10-16 17:48:50","","1","320","<p>First off, I am working in Access 2007.</p>

<p>I have two queries that both aggregates by date.</p>

<p>The first one returns an aggregated daily weighted return</p>

<pre><code>SELECT Records.RecDate, Sum([YTD]*[Weight]) AS UnadjReturn
FROM Records
WHERE (((Records.[Class1])=""eq"") AND ((Records.[Class2])=""ce""))
GROUP BY Records.RecDate;
</code></pre>

<p>Result:</p>

<pre><code>RecDate UnadjReturn
11/27/2012  0.060778036742704
12/11/2012  0.075592752895318
12/14/2012  7.47574641136453E-02
</code></pre>

<p>I also have another query that returns daily total class portfolio weight by summing the weight of all the assets in an asset class with respect to the entire portfolio:</p>

<pre><code>SELECT Records.RecDate, Sum(Records.Weight) AS SumOfWeight
FROM Records
WHERE (((Records.[Class1])=""eq"") AND ((Records.[Class2])=""ce""))
GROUP BY Records.RecDate;
</code></pre>

<p>which returns:</p>

<pre><code>RecDate SumOfWeight
11/27/2012  0.479327081236988
12/11/2012  0.483075813390315
12/14/2012  0.482791727874428
</code></pre>

<p>Now I would like to write a consolidated query that multiplies each day's <code>UnadjReturn</code> by <code>SumOfWeight</code>. I have tried <code>INNER JOIN</code> the two and then multiply the two variables as follows,</p>

<pre><code>SELECT joined.RecDate, joined.UnadjReturn * joined.SumOfWeight as AdjReturn
FROM joined
(
SELECT Records.RecDate, Sum([YTD]*[Weight]) AS UnadjReturn
FROM Records
WHERE (((Records.[Class1])=""eq"") AND ((Records.[Class2])=""ce""))
GROUP BY Records.RecDate
INNER JOIN
(
SELECT Records.RecDate, Sum(Records.Weight) AS SumOfWeight
FROM Records
WHERE (((Records.[Class1])=""eq"") AND ((Records.[Class2])=""ce""))
GROUP BY Records.RecDate;
) t2
ON Records.RecDate = t2.RecDate
AS joined
)
</code></pre>

<p>This is not looking good at all. Any suggestions? I could do it by querying the two queries with another query, but I would like to take care of it in just one. </p>
","2561430","","","","","2013-10-16 20:19:56","Consolidating 2 queries with an INNER JOIN and Get a calculated column from them","<sql><database><ms-access>","2","1","","","","CC BY-SA 3.0"
"19410295","1","19411944","","2013-10-16 17:49:00","","0","1886","<p>I am going through some trouble with EF.
In this model I would like to get an IEnumerable of all Products whose names match some string, but also the Products inside an Order whose name ALSO matches the same string, all of this without Product duplicates in the resulting IEnumerable.</p>

<p>That is, a query that searches the same string and matches it against BOTH the Product's name and the Order's name and returns the matched Products.</p>

<p>Thanks</p>

<pre><code>      public class Order
        {
            public Order()
            {             
                OrderDetailList= new  List&lt;OrderDetail&gt;();
            }

            public int Id { get; set; }
            public String orderName{ get; set; }            
            public ICollection&lt;OrderDetail&gt; OrderDetailList{ get; set; }    
        }

 public class OrderDetail 
    {

        public int Id { get; set; }        

        [ForeignKey(""Product_Id"")]
        public Turno Product { get; set; }
        public int Product_Id { get; set; }

        public int numberOfItems{ get; set; }

        [ForeignKey(""Order_Id"")]      
        public Order Order { get; set; }
        public int Order_Id { get; set; }
   }



 public class Product 
    {
        public Product()
        {         
            OrderDetail= new List&lt;OrderDetail&gt;();
        }
        public int Id { get; set; }
        public string Name { get; set; }
        public string codId { get; set; }
        public ICollection&lt;OrderDetail&gt; OrderDetailList{ get; set; }
}



public class Context : DbContext
    {
        public Context()
            : base(""Context"") { }            
        public DbSet&lt;Order&gt; Orders { get; set; }
        public DbSet&lt;OrderDetail&gt; OrderDetails { get; set; }
        public DbSet&lt;Product&gt; Products { get; set; }
    }
</code></pre>
","76370","","","","","2013-10-16 19:22:01","How to query multiple DbSets in a single LINQ statement","<c#><entity-framework><lambda><dbset>","2","0","","","","CC BY-SA 3.0"
"19410298","1","","","2013-10-16 17:49:02","","1","597","<p>I upgraded to Visual Studio 2012 from Visual Studio 2010. My solution builds fine in Visual Studio 2010. However in Visual Studio 2012, a CLR enabled C++ project throws c2248 'CObject::CObject' : cannot access private member declared in class 'CObject' from an export class below. If I comment out AFX_CLASS_EXPORT for CParmArray, the project compiles without error. Or if I turn off CLR support, it also compiles without error. But these are not options since other projects in the solution will get link error when building.  </p>

<p>What has changed in Visual Studio 2012 that could cause the problem? How do I correct the error?</p>

<p>I appreciate any advice.</p>

<p>compiler output:</p>

<pre><code>1&gt;C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\atlmfc\include\afxtempl.h(262): error C2248: 'CObject::CObject' : cannot access private member declared in class 'CObject'
 1&gt;          C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\atlmfc\include\afx.h(559) : see declaration of 'CObject::CObject'
 1&gt;          C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\atlmfc\include\afx.h(534) : see declaration of 'CObject'
 1&gt;          This diagnostic occurred in the compiler generated function 'CArray&lt;TYPE,ARG_TYPE&gt;::CArray(const CArray&lt;TYPE,ARG_TYPE&gt; &amp;)'
 1&gt;          with
 1&gt;          [
 1&gt;              TYPE=int *,
 1&gt;              ARG_TYPE=int *&amp;
 1&gt;          ]
</code></pre>

<p>code:</p>

<pre><code>class AFX_CLASS_EXPORT CParmArray : public CArray&lt;int, int* &amp;&gt;
{
public:
  CParmArray();
  CParmArray(const CParmArray&amp; testArray);
  void operator=(const CParmArray&amp; testArray);
  virtual ~CParmArray();
};
</code></pre>
","2887403","","2887403","","2013-10-17 03:43:42","2017-02-01 10:58:45","C2248 error when compiling a CLR enabled C++ project in Visual Studio 2012","<c++><visual-studio-2012>","1","2","","","","CC BY-SA 3.0"
